curso,escola,grau,duracao_anos,ects,regime,local,area,estado,observacoes,saidas_profissionais,descricao,resumo,interesses_relacionados,palavras_chave,fonte
Geoinformática e Gestão de Recursos Naturais,ESA,CTeSP,2,120,,Ponte de Lima,Geoinformática e Recursos Naturais,Não abre,,formação especializada; desenvolvimento de competências em geoinformática e recursos naturais; aplicação profissional na área,"Formação do IPVC na área de geoinformática e recursos naturais, associada à escola ESA.","Geoinformática e Gestão de Recursos Naturais — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",geoinformática e recursos naturais; geoinformática e gestão de recursos naturais; formação especializada; carreira profissional,geoinformática; recursos naturais; ambiente; gis,https://www.ipvc.pt/ctesp/
Gestão de Explorações Agrícolas,ESA,CTeSP,2,120,,Ponte de Lima,Gestão Agrícola,Disponível,,formação especializada; desenvolvimento de competências em gestão agrícola; aplicação profissional na área,"Formação do IPVC na área de gestão agrícola, associada à escola ESA.","Gestão de Explorações Agrícolas — CTeSP do IPVC, na escola ESA. Estado da oferta: Disponível.",gestão agrícola; gestão de explorações agrícolas; formação especializada; carreira profissional,gestão agrícola; explorações agrícolas; agricultura; produção,https://www.ipvc.pt/ctesp/
Qualidade e Gestão Ambiental,ESA,CTeSP,2,120,,Ponte de Lima,Ambiente e Qualidade,Não abre,,formação especializada; desenvolvimento de competências em ambiente e qualidade; aplicação profissional na área,"Formação do IPVC na área de ambiente e qualidade, associada à escola ESA.","Qualidade e Gestão Ambiental — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",ambiente e qualidade; qualidade e gestão ambiental; formação especializada; carreira profissional,ambiente; qualidade ambiental; gestão ambiental; sustentabilidade,https://www.ipvc.pt/ctesp/
Indústrias Biotecnológicas,ESA,CTeSP,2,120,,Ponte de Lima,Biotecnologia,Não abre,,formação especializada; desenvolvimento de competências em biotecnologia; aplicação profissional na área,"Formação do IPVC na área de biotecnologia, associada à escola ESA.","Indústrias Biotecnológicas — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",biotecnologia; indústrias biotecnológicas; formação especializada; carreira profissional,biotecnologia; indústria; laboratório; ciência,https://www.ipvc.pt/ctesp/
Marketing Agroalimentar,ESA,CTeSP,2,120,,Ponte de Lima,Marketing Agroalimentar,Não abre,,formação especializada; desenvolvimento de competências em marketing agroalimentar; aplicação profissional na área,"Formação do IPVC na área de marketing agroalimentar, associada à escola ESA.","Marketing Agroalimentar — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",marketing agroalimentar; marketing agroalimentar; formação especializada; carreira profissional,marketing; agroalimentar; agricultura; gestão,https://www.ipvc.pt/ctesp/
Mecanização Agrícola e Automação,ESA,CTeSP,2,120,,Ponte de Lima,Mecanização Agrícola e Automação,Não abre,,formação especializada; desenvolvimento de competências em mecanização agrícola e automação; aplicação profissional na área,"Formação do IPVC na área de mecanização agrícola e automação, associada à escola ESA.","Mecanização Agrícola e Automação — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",mecanização agrícola e automação; mecanização agrícola e automação; formação especializada; carreira profissional,mecanização agrícola; automação; agricultura; tecnologia,https://www.ipvc.pt/ctesp/
Riscos e Proteção Civil,ESA,CTeSP,2,120,,Ponte de Lima,Proteção Civil e Gestão de Riscos,Não abre,,formação especializada; desenvolvimento de competências em proteção civil e gestão de riscos; aplicação profissional na área,"Formação do IPVC na área de proteção civil e gestão de riscos, associada à escola ESA.","Riscos e Proteção Civil — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",proteção civil e gestão de riscos; riscos e proteção civil; formação especializada; carreira profissional,proteção civil; riscos; segurança; emergência,https://www.ipvc.pt/ctesp/
Turismo e Lazer em Espaços Rurais e Naturais,ESA,CTeSP,2,120,,Ponte de Lima,Turismo Rural e de Natureza,Não abre,,formação especializada; desenvolvimento de competências em turismo rural e de natureza; aplicação profissional na área,"Formação do IPVC na área de turismo rural e de natureza, associada à escola ESA.","Turismo e Lazer em Espaços Rurais e Naturais — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",turismo rural e de natureza; turismo e lazer em espaços rurais e naturais; formação especializada; carreira profissional,turismo rural; natureza; lazer; turismo,https://www.ipvc.pt/ctesp/
Construção e Reabilitação,ESTG,CTeSP,2,120,,Viana do Castelo,Construção Civil e Reabilitação,Disponível,,formação especializada; desenvolvimento de competências em construção civil e reabilitação; aplicação profissional na área,"Formação do IPVC na área de construção civil e reabilitação, associada à escola ESTG.","Construção e Reabilitação — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",construção civil e reabilitação; construção e reabilitação; formação especializada; carreira profissional,construção; reabilitação; obras; engenharia civil,https://www.ipvc.pt/ctesp/
Desenvolvimento Web e Multimédia,ESTG,CTeSP,2,120,,Viana do Castelo,"Informática, Web e Multimédia",Disponível,,"formação especializada; desenvolvimento de competências em informática, web e multimédia; aplicação profissional na área","Formação do IPVC na área de informática, web e multimédia, associada à escola ESTG.","Desenvolvimento Web e Multimédia — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.","informática, web e multimédia; desenvolvimento web e multimédia; formação especializada; carreira profissional",web; programação; multimédia; informática,https://www.ipvc.pt/ctesp/
Gestão Hoteleira,ESTG,CTeSP,2,120,,Viana do Castelo,Hotelaria e Turismo,Disponível,,formação especializada; desenvolvimento de competências em hotelaria e turismo; aplicação profissional na área,"Formação do IPVC na área de hotelaria e turismo, associada à escola ESTG.","Gestão Hoteleira — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",hotelaria e turismo; gestão hoteleira; formação especializada; carreira profissional,hotelaria; turismo; gestão hoteleira; alojamento,https://www.ipvc.pt/ctesp/
Impressão 3D e Maquinação Automática,ESTG,CTeSP,2,120,,Viana do Castelo,Fabricação Digital e Maquinação,Abre em 2022/2023,Aulas em Arcos de Valdevez,formação especializada; desenvolvimento de competências em fabricação digital e maquinação; aplicação profissional na área,"Formação do IPVC na área de fabricação digital e maquinação, associada à escola ESTG.","Impressão 3D e Maquinação Automática — CTeSP do IPVC, na escola ESTG. Estado da oferta: Abre em 2022/2023.",fabricação digital e maquinação; impressão 3d e maquinação automática; formação especializada; carreira profissional,impressão 3d; maquinação; fabricação; automação,https://www.ipvc.pt/ctesp/
Manutenção Mecânica,ESTG,CTeSP,2,120,,Viana do Castelo,Mecânica e Manutenção Industrial,Disponível,,formação especializada; desenvolvimento de competências em mecânica e manutenção industrial; aplicação profissional na área,"Formação do IPVC na área de mecânica e manutenção industrial, associada à escola ESTG.","Manutenção Mecânica — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",mecânica e manutenção industrial; manutenção mecânica; formação especializada; carreira profissional,manutenção mecânica; mecânica; indústria; máquinas,https://www.ipvc.pt/ctesp/
Mecânica Automóvel,ESTG,CTeSP,2,120,,Viana do Castelo,Mecânica Automóvel,Disponível,Aulas em Arcos de Valdevez,formação especializada; desenvolvimento de competências em mecânica automóvel; aplicação profissional na área,"Formação do IPVC na área de mecânica automóvel, associada à escola ESTG.","Mecânica Automóvel — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",mecânica automóvel; mecânica automóvel; formação especializada; carreira profissional,automóvel; mecânica automóvel; veículos; manutenção,https://www.ipvc.pt/ctesp/
Mecatrónica,ESTG,CTeSP,2,120,,Viana do Castelo,Mecatrónica e Automação,Disponível,,formação especializada; desenvolvimento de competências em mecatrónica e automação; aplicação profissional na área,"Formação do IPVC na área de mecatrónica e automação, associada à escola ESTG.","Mecatrónica — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",mecatrónica e automação; mecatrónica; formação especializada; carreira profissional,mecatrónica; automação; eletrónica; mecânica,https://www.ipvc.pt/ctesp/
Qualidade e Segurança Alimentar,ESTG,CTeSP,2,120,,Viana do Castelo,Qualidade e Segurança Alimentar,Disponível,,formação especializada; desenvolvimento de competências em qualidade e segurança alimentar; aplicação profissional na área,"Formação do IPVC na área de qualidade e segurança alimentar, associada à escola ESTG.","Qualidade e Segurança Alimentar — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",qualidade e segurança alimentar; qualidade e segurança alimentar; formação especializada; carreira profissional,qualidade alimentar; segurança alimentar; alimentos; indústria alimentar,https://www.ipvc.pt/ctesp/
Sistemas de Energia Elétrica,ESTG,CTeSP,2,120,,Viana do Castelo,Energia Elétrica,Disponível,,formação especializada; desenvolvimento de competências em energia elétrica; aplicação profissional na área,"Formação do IPVC na área de energia elétrica, associada à escola ESTG.","Sistemas de Energia Elétrica — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",energia elétrica; sistemas de energia elétrica; formação especializada; carreira profissional,energia elétrica; eletricidade; sistemas elétricos; energia,https://www.ipvc.pt/ctesp/
Sistemas Eletrónicos e Computadores,ESTG,CTeSP,2,120,,Viana do Castelo,Eletrónica e Computadores,Disponível,,formação especializada; desenvolvimento de competências em eletrónica e computadores; aplicação profissional na área,"Formação do IPVC na área de eletrónica e computadores, associada à escola ESTG.","Sistemas Eletrónicos e Computadores — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",eletrónica e computadores; sistemas eletrónicos e computadores; formação especializada; carreira profissional,eletrónica; computadores; hardware; sistemas eletrónicos,https://www.ipvc.pt/ctesp/
Tecnologias e Programação de Sistemas de Informação,ESTG,CTeSP,2,120,,Viana do Castelo,Informática e Programação,Disponível,,formação especializada; desenvolvimento de competências em informática e programação; aplicação profissional na área,"Formação do IPVC na área de informática e programação, associada à escola ESTG.","Tecnologias e Programação de Sistemas de Informação — CTeSP do IPVC, na escola ESTG. Estado da oferta: Disponível.",informática e programação; tecnologias e programação de sistemas de informação; formação especializada; carreira profissional,programação; sistemas de informação; informática; software,https://www.ipvc.pt/ctesp/
Turismo Gastronómico e Vinhos,ESTG,CTeSP,2,120,,Viana do Castelo,"Turismo, Gastronomia e Vinhos",Não abre,,"formação especializada; desenvolvimento de competências em turismo, gastronomia e vinhos; aplicação profissional na área","Formação do IPVC na área de turismo, gastronomia e vinhos, associada à escola ESTG.","Turismo Gastronómico e Vinhos — CTeSP do IPVC, na escola ESTG. Estado da oferta: Não abre.","turismo, gastronomia e vinhos; turismo gastronómico e vinhos; formação especializada; carreira profissional",turismo gastronómico; vinhos; gastronomia; turismo,https://www.ipvc.pt/ctesp/
Termalismo e Bem-Estar,ESS,CTeSP,2,120,,Viana do Castelo,"Saúde, Bem-Estar e Termalismo",Disponível,,"formação especializada; desenvolvimento de competências em saúde, bem-estar e termalismo; aplicação profissional na área","Formação do IPVC na área de saúde, bem-estar e termalismo, associada à escola ESS.","Termalismo e Bem-Estar — CTeSP do IPVC, na escola ESS. Estado da oferta: Disponível.","saúde, bem-estar e termalismo; termalismo e bem-estar; formação especializada; carreira profissional",termalismo; bem-estar; saúde; spa,https://www.ipvc.pt/ctesp/
Contabilidade e Gestão para PME,ESCE,CTeSP,2,120,,Valença,Contabilidade e Gestão,Disponível,,formação especializada; desenvolvimento de competências em contabilidade e gestão; aplicação profissional na área,"Formação do IPVC na área de contabilidade e gestão, associada à escola ESCE.","Contabilidade e Gestão para PME — CTeSP do IPVC, na escola ESCE. Estado da oferta: Disponível.",contabilidade e gestão; contabilidade e gestão para pme; formação especializada; carreira profissional,contabilidade; gestão; pme; empresas,https://www.ipvc.pt/ctesp/
Gestão e Melhoria Contínua nas Empresas,ESCE,CTeSP,2,120,,Valença,Gestão e Melhoria Contínua,Não abre,,formação especializada; desenvolvimento de competências em gestão e melhoria contínua; aplicação profissional na área,"Formação do IPVC na área de gestão e melhoria contínua, associada à escola ESCE.","Gestão e Melhoria Contínua nas Empresas — CTeSP do IPVC, na escola ESCE. Estado da oferta: Não abre.",gestão e melhoria contínua; gestão e melhoria contínua nas empresas; formação especializada; carreira profissional,gestão; melhoria contínua; empresas; qualidade,https://www.ipvc.pt/ctesp/
Gestão Industrial,ESCE,CTeSP,2,120,,Valença,Gestão Industrial,Novo,Aulas no polo dos Arcos de Valdevez,formação especializada; desenvolvimento de competências em gestão industrial; aplicação profissional na área,"Formação do IPVC na área de gestão industrial, associada à escola ESCE.","Gestão Industrial — CTeSP do IPVC, na escola ESCE. Estado da oferta: Novo.",gestão industrial; gestão industrial; formação especializada; carreira profissional,gestão industrial; indústria; produção; empresas,https://www.ipvc.pt/ctesp/
Marketing Digital e Comércio Eletrónico,ESCE,CTeSP,2,120,,Valença,Marketing Digital e Comércio Eletrónico,Disponível,,formação especializada; desenvolvimento de competências em marketing digital e comércio eletrónico; aplicação profissional na área,"Formação do IPVC na área de marketing digital e comércio eletrónico, associada à escola ESCE.","Marketing Digital e Comércio Eletrónico — CTeSP do IPVC, na escola ESCE. Estado da oferta: Disponível.",marketing digital e comércio eletrónico; marketing digital e comércio eletrónico; formação especializada; carreira profissional,marketing digital; comércio eletrónico; e-commerce; negócios digitais,https://www.ipvc.pt/ctesp/
Negócios Digitais,ESCE,CTeSP,2,120,,Valença,Negócios Digitais,Novo,Aulas no polo dos Arcos de Valdevez,formação especializada; desenvolvimento de competências em negócios digitais; aplicação profissional na área,"Formação do IPVC na área de negócios digitais, associada à escola ESCE.","Negócios Digitais — CTeSP do IPVC, na escola ESCE. Estado da oferta: Novo.",negócios digitais; negócios digitais; formação especializada; carreira profissional,negócios digitais; tecnologia; gestão; comércio eletrónico,https://www.ipvc.pt/ctesp/
Transportes e Logística,ESCE,CTeSP,2,120,,Valença,Transportes e Logística,Disponível,,formação especializada; desenvolvimento de competências em transportes e logística; aplicação profissional na área,"Formação do IPVC na área de transportes e logística, associada à escola ESCE.","Transportes e Logística — CTeSP do IPVC, na escola ESCE. Estado da oferta: Disponível.",transportes e logística; transportes e logística; formação especializada; carreira profissional,transportes; logística; cadeia de abastecimento; operações,https://www.ipvc.pt/ctesp/
Trabalhos em Altura e Acesso por Cordas,ESDL,CTeSP,2,120,,Melgaço,"Desporto, Segurança e Trabalhos em Altura",Não abre,,"formação especializada; desenvolvimento de competências em desporto, segurança e trabalhos em altura; aplicação profissional na área","Formação do IPVC na área de desporto, segurança e trabalhos em altura, associada à escola ESDL.","Trabalhos em Altura e Acesso por Cordas — CTeSP do IPVC, na escola ESDL. Estado da oferta: Não abre.","desporto, segurança e trabalhos em altura; trabalhos em altura e acesso por cordas; formação especializada; carreira profissional",trabalhos em altura; cordas; segurança; desporto,https://www.ipvc.pt/ctesp/
Treino Desportivo,ESDL,CTeSP,2,120,,Melgaço,Desporto e Treino,Disponível,,formação especializada; desenvolvimento de competências em desporto e treino; aplicação profissional na área,"Formação do IPVC na área de desporto e treino, associada à escola ESDL.","Treino Desportivo — CTeSP do IPVC, na escola ESDL. Estado da oferta: Disponível.",desporto e treino; treino desportivo; formação especializada; carreira profissional,treino desportivo; desporto; treino; modalidades,https://www.ipvc.pt/ctesp/
